source,market_id,player_name,match_name,match_key,match_start_time,status,label,would_have_worked,n_pre_snapshots,pre_span_minutes,best_wave_pp,entry_time,entry_lead_minutes,entry_prob,peak_prob,peak_time,peak_lead_minutes,move_at_start_pp,max_dip_after_entry_pp,entry_spread,entry_volume,entry_velocity5_pp,entry_band,max_prematch_watch_score,n_prematch_score_rows,alerted_prematch,first_prematch_alert_type,first_prematch_alert_at,alerted_any
polymarket,0x342a79b5ef81ba95d59e1ea53f9544d0ae5b5232ec5e7e9b281dea3751b157f2,Johnson/Zielinski,Lexus Eastbourne Open (Doubles): Johnson/Zielinski vs Jones/Paris,johnson zielinski|jones paris,2026-06-23T10:00:00,completed,wave_5pp,1,26,1959.0,60.0,2026-06-21T10:40:55.452468,2839.1,0.395,0.995,2026-06-22T15:42:26.755521,1097.6,60.0,0.0,0.67,,,30-60%,49.0,11,0,,,0
polymarket,0x3bbf9fb458d42c0003e57ead1a588ea3f3a9091a8ae68192824db1af59ad915c,Maxwell Exsted,ITF Claremont: Maxwell Exsted vs Matt Kuhar,matt kuhar|maxwell exsted,2026-06-25T22:00:00,completed,wave_5pp,1,20,1152.9,55.5,2026-06-24T22:42:30.900247,1397.5,0.335,0.89,2026-06-24T23:47:12.719989,1332.8,55.5,0.0,0.61,240.788437,-20.5,30-60%,51.0,15,0,,,0
polymarket,0xbc3026cc45df0ea02fe53262dc58afcaba2d260b02e42d3d09b69ebcb1f57099,Dabrowski/Stefani,Lexus Eastbourne Open (Doubles): Dabrowski/Stefani vs Kato/Rakhimova,dabrowski stefani|kato rakhimova,2026-06-25T10:00:00,completed,wave_5pp,1,26,1846.1,48.0,2026-06-23T04:33:12.020547,3206.8,0.5,0.98,2026-06-24T11:14:08.628154,1365.9,48.0,0.0,0.96,,,30-60%,46.0,12,0,,,0
polymarket,0x327974145a4b5715f96479d3b3aef22eb7adf1970b73648543559951b2336cbc,Ajdukovic/Kalender,Targu Mures (Doubles): Ajdukovic/Kalender vs Latinovic/Vrbensky,ajdukovic kalender|latinovic vrbensky,2026-06-25T12:00:00,completed,wave_5pp,1,10,665.4,47.5,2026-06-24T22:38:18.778899,801.7,0.5,0.975,2026-06-24T23:47:12.719989,732.8,-0.5,0.0,0.94,,,30-60%,36.0,7,0,,,0
polymarket,0x15e1f23264f41fdedff4af8f07f5339305fc1f75e13b6e7393c9d459b5e6761f,Matthew Dellavedova,ITF Wuning: Matthew Dellavedova vs Kanan Gasimov,kanan gasimov|matthew dellavedova,2026-06-24T04:00:00,completed,wave_5pp,1,5,132.9,46.5,2026-06-23T22:06:45.196736,353.2,0.5,0.965,2026-06-23T23:18:11.010958,281.8,45.5,0.0,1.0,,,30-60%,19.0,1,0,,,0
polymarket,0x3ed4e46943e632b2c712d914ec3842361c58851340c84872cefaeac04a365d24,Marente Sijbesma,ITF Alkmaar: Marente Sijbesma vs Isis Louise Van Den Broek,isis louise van den broek|marente sijbesma,2026-06-25T09:00:00,completed,wave_5pp,1,28,1847.2,46.5,2026-06-24T04:38:50.462865,1701.2,0.05,0.515,2026-06-24T08:02:22.727525,1497.6,0.5,0.0,0.02,,,2-12%,28.0,28,1,NEW_LOW_WATCH,2026-06-24T04:39:18.760797,1
polymarket,0x6e6d8d463471091d8a5ddc5c54b24aa4d2b9772edd0fd4673f79e32ec7a0cde4,Yunchaokete Bu,"Wimbledon, Qualification ATP: Yunchaokete Bu vs Hugo Dellien",hugo dellien|yunchaokete bu,2026-06-22T10:00:00,completed,wave_5pp,1,14,728.7,46.0,2026-06-21T16:48:59.370896,1031.0,0.46,0.92,2026-06-21T16:53:58.249775,1026.0,45.5,0.0,0.9,,,30-60%,35.0,6,0,,,0
polymarket,0x3afc3ccefb68ebb5950bfcb87d8c937b5a99f9539c9bcfbfd5a6dddcc07779b0,Kisa Yoshioka,ITF Taipei: Kisa Yoshioka vs Dayeon Back,dayeon back|kisa yoshioka,2026-06-24T02:00:00,completed,wave_5pp,1,20,1186.4,45.5,2026-06-23T04:33:12.020547,1286.8,0.08,0.535,2026-06-23T08:06:51.050596,1073.1,-1.5,0.0,0.02,,,2-12%,39.0,20,1,NEW_LOW_WATCH,2026-06-23T13:59:31.804210,1
polymarket,0xfbf2994ad594485969dc789d43798b5f46d8182c09b11cd12bf404f4fbc7d9b4,Duru Soke,ITF Kayseri: Duru Soke vs Hana Shabanpour,duru soke|hana shabanpour,2026-06-24T09:15:00,completed,wave_5pp,1,9,601.5,45.5,2026-06-23T22:06:45.196736,668.2,0.5,0.955,2026-06-23T23:18:11.010958,596.8,45.45,0.0,0.96,,,30-60%,24.0,2,0,,,0
polymarket,0x0a0cfe514a05f518f1a507138dd8b9c592d8d837f0dfb0f9d5424c0d33250bea,Emily Sartz-Lunde,ITF Monastir: Emily Sartz-Lunde vs Mirabelle Tahiri,emily sartz lunde|mirabelle tahiri,2026-06-24T08:30:00,completed,wave_5pp,1,9,601.5,45.0,2026-06-23T22:06:45.196736,623.2,0.5,0.95,2026-06-24T00:14:06.919102,495.9,45.0,0.0,1.0,,,30-60%,28.0,5,0,,,0
